Rk,Player,Tm,2018-19,2019-20,2020-21
1,Stephen Curry\curryst01,GSW,37457154,$40231758,$43006362
2,Chris Paul\paulch01,HOU,$35654150,$38506482,$41358814
3,LeBron James\jamesle01,LAL,$35654150,$37436858,$39219565
4,Russell Westbrook\westbru01,OKC,$35350000,$38178000,$41006000
5,Blake Griffin\griffbl01,DET,$31873932,$34234964,$36595996
6,Gordon Hayward\haywago01,BOS,$31214295,$32700690,$34187085
7,Kyle Lowry\lowryky01,TOR,$31000000,$33296296,
8,Paul George\georgpa01,OKC,$30560700,$33005556,$35450412
9,Mike Conley\conlemi01,MEM,$30521115,$32511623,$34504132
10,James Harden\hardeja01,HOU,$30431854,$37800000,$40824000
11,Kevin Durant\duranke01,GSW,$30000000,$31500000,
12,Paul Millsap\millspa01,DEN,$29730769,$30500000,
13,Al Horford\horfoal01,BOS,$28928710,$30123015,
14,Damian Lillard\lillada01,POR,$27977689,$29802321,$31626953
15,DeMar DeRozan\derozde01,SAS,$27739975,$27739975,$27739975
16,Chris Bosh\boshch01,MIA,$26837720,,
17,Jrue Holiday\holidjr01,NOP,$26131111,$26131111,$26131111
18,Otto Porter\porteot01,WAS,$26011913,$27250576,$28489239
19,CJ McCollum\mccolcj01,POR,$25759766,$27556959,$29354152
20,Carmelo Anthony\anthoca01,ATL,$25599488,,
21,Nikola Jokic\jokicni01,DEN,$25467250,$27504630,$29542010
22,Bradley Beal\bealbr01,WAS,$25434263,$27093019,$28751775
23,Anthony Davis\davisan02,NOP,$25434263,$27093019,$28751775
24,Andre Drummond\drumman01,DET,$25434263,$27093019,$28751775
25,Hassan Whiteside\whiteha01,MIA,$25434263,$27093018,
26,Andrew Wiggins\wiggian01,MIN,$25250000,$27270000,$29290000
27,Joel Embiid\embiijo01,PHI,$25250000,$27270000,$29290000
28,Steven Adams\adamsst01,OKC,$24157303,$25842697,$27528090
29,Giannis Antetokounmpo\antetgi01,MIL,$24157303,$25842697,$27528090
30,Kevin Love\loveke01,CLE,$24119025,$28900000,$31300000
31,Marc Gasol\gasolma01,MEM,$24119025,$25595700,
32,Chandler Parsons\parsoch01,MEM,$24107258,$25102511,
33,Harrison Barnes\barneha02,DAL,$24107258,$25102512,
34,Nicolas Batum\batumni01,CHO,$24000000,$25565217,$27130434
35,Rudy Gobert\goberru01,UTA,$23491573,$25008427,$26525281
36,DeAndre Jordan\jordade01,DAL,$22900000,,
37,LaMarcus Aldridge\aldrila01,SAS,$22347015,$26000000,$24000000
38,Serge Ibaka\ibakase01,TOR,$21666667,$23271604,
39,Aaron Gordon\gordoaa01,ORL,$21590909,$19863636,$18136364
40,Danilo Gallinari\gallida01,LAC,$21587579,$22615559,
41,Victor Oladipo\oladivi01,IND,$21000000,$21000000,$21000000
42,Jimmy Butler\butleji01,MIN,$20445779,$19841627,
43,Ryan Anderson\anderry01,PHO,$20421546,$15600000,
44,Kawhi Leonard\leonaka01,TOR,$20099189,$21329752,
45,Kyrie Irving\irvinky01,BOS,$20099188,$21329750,
46,Jabari Parker\parkeja01,CHI,$20000000,$20000000,
47,Zach LaVine\lavinza01,CHI,$19500000,$19500000,$19500000
48,Tyler Johnson\johnsty01,MIA,$19245370,$19245370,
49,John Wall\walljo01,WAS,$19169800,$37800000,$40824000
50,George Hill\hillge01,CLE,$19000000,$18000000,
51,Jeff Teague\teaguje01,MIN,$19000000,$19000000,
52,Klay Thompson\thompkl01,GSW,$18988725,,
53,Dwight Howard\howardw01,BRK,$18919725,,
54,Enes Kanter\kanteen01,NYK,$18622514,,
55,Wesley Matthews\matthwe02,DAL,$18622514,,
56,Joakim Noah\noahjo01,NYK,$18530000,$19295000,
57,Allen Crabbe\crabbal01,BRK,$18500000,$18500000,
58,Goran Dragic\dragigo01,MIA,$18109175,$19217900,
59,Kent Bazemore\bazemke01,ATL,$18089887,$19269662,
60,Evan Turner\turneev01,POR,$17868852,$18606557,
61,Draymond Green\greendr01,GSW,$17469565,$18539130,
62,Tristan Thompson\thomptr01,CLE,$17469565,$18539130,
63,Tim Hardaway\hardati02,NYK,$17325000,$18150000,$18975000
64,Reggie Jackson\jacksre01,DET,$17043478,$18086956,
65,Evan Fournier\fournev01,ORL,$17000000,$17000000,$17000000
66,Bismack Biyombo\biyombi01,CHO,$17000000,$17000000,
67,Derrick Favors\favorde01,UTA,$16900000,$16900000,
68,Jonas Valanciunas\valanjo01,TOR,$16539326,$17617977,
69,Gary Harris\harriga01,DEN,$16517857,$17839286,$19160714
70,Andre Iguodala\iguodan01,GSW,$16000000,$17185185,
71,Timofey Mozgov\mozgoti01,ORL,$16000000,$16720000,
72,Pau Gasol\gasolpa01,SAS,$16000000,$16000000,
73,Ian Mahinmi\mahinia01,WAS,$15944154,$15450051,
74,Dennis Schroder\schrode01,OKC,$15500000,$15500000,$15500000
75,Clint Capela\capelca01,HOU,$15413043,$16456522,$17500000
76,DeMarre Carroll\carrode01,BRK,$15400000,,
